"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Colombia","COL","Land under cereal production (hectares)","AG.LND.CREL.HA","","1158170","1196700","1119160","1256100","1439697","1390770","1249700","1276875","1143960","1044713","1115010","1106940","1115860","1194450","1194250","1277850","1187825","1429165","1373100","1335650","1375115","1482110","1344190","1262760","1180900","1229269","1320800","1413400","1611400","1742800","1610900","1440654","1405706","1448674","1299245","1183840","1103336","945227","1084111","1118941","1108627","1065183","1158026","1211640","1080922","1050816","1070032","1133020","1187597","1033594.23","1015618.5","1020897.11","",
"Comoros","COM","Land under cereal production (hectares)","AG.LND.CREL.HA","","10200","10100","11350","11700","13700","15000","14100","12200","12300","12300","12300","12500","12700","13100","13300","14000","14600","15500","17000","17200","17300","17200","16000","15000","15200","15200","14236","14257","14477","14724","14985","15424","16443","15704","16326","17614","17524","19651","17572","17877","17806","19523","20540","20586","17194","19000","15837","19047","19629","21500","23600","24600","",
"Cabo Verde","CPV","Land under cereal production (hectares)","AG.LND.CREL.HA","","20000","20000","20000","20000","35000","39000","45000","25000","16000","3000","3000","3000","3000","7000","9000","11000","4000","3000","14000","16000","7000","10000","7000","5115","3300","22716","34882","34256","35480","34124","32655","33975","33105","32612","31066","32127","33347","34518","31358","30626","30674","34122","32053","25963","15000","29263","27873","34385","31983","32028","31318","32000","",
"Costa Rica","CRI","Land under cereal production (hectares)","AG.LND.CREL.HA","","103000","112000","108450","127400","110480","122700","127900","125400","113800","113000","94500","94800","133961","127847","149387","158912","143006","136437","142185","118847","147655","146757","155087","156147","163884","151845","132725","125081","93701","92604","80415","76335","61089","62892","55589","76455","74354","69798","79540","78573","64642","54669","62522","68596","61608","55138","56303","61411","74792","76013","89324","84787","",
"South Asia (IFC classification)","CSA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Land under cereal production (hectares)","AG.LND.CREL.HA","","158392","148791","130596","200536","173582","188809","170175","170386","165791","173107","167711","145418","163729","193154","219368","183009","220640","200459","176562","184953","183342","192061","170727","197076","180084","184016","175254","171509","170863","129883","166770","183327","194428","190263","230103","233107","231937","210683","225726","185778","199664","176969","207921","193060","179324","173657","181061","195531","212618","225271.7","229296.5","230459","",
"Cuba","CUB","Land under cereal production (hectares)","AG.LND.CREL.HA","","275000","294072","263000","178969","145000","140000","146367","173900","222300","303300","274100","297657","331460","295086","261503","240040","228760","228733","224478","225354","222400","228700","227100","238600","237200","248600","231295","229477","245421","230425","221997","252260","191644","271301","254028","356902","373367","330254","289690","326773","312470","320561","337417","304417","285839","267397","277892","285011","419902","402165","351512","337250","",
"Curacao","CUW","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Land under cereal production (hectares)","AG.LND.CREL.HA","","141673","137794","138730","140469","143975","143145","141941","143145","138060","152107","156857","153111","160536","162141","57058","62435","61773","50088","46743","49097","49151","51560","51345","52710","53486","52108","54047","58998","59701","57530","48790","65110","69100","63500","60870","58940","43020","59090","58940","51480","55970","59200","72745","66397","58286","59222","43556","38704","31155","34037","37709","39738","",
